read1,read2,ns-diff
4256,4417,-338.105134
4249,4312,-132.302009
4249,4277,-58.800893
4445,4270,367.505581
4291,4235,117.601786
4207,4368,-338.105134
4235,4298,-132.302009
4186,4389,-426.306473
4508,4284,470.407143
4256,4396,-294.004464
4277,4291,-29.400446
4347,4305,88.201339
4270,4284,-29.400446
4214,4298,-176.402679
4235,4340,-220.503348
4207,4396,-396.906027
4207,4298,-191.102902
4228,4305,-161.702455
4291,4284,14.700223
4207,4270,-132.302009
4249,4312,-132.302009
4221,4326,-220.503348
4263,4312,-102.901563
4221,4410,-396.906027
4242,4298,-117.601786
4228,4312,-176.402679
5040,4473,1190.718081
4522,4508,29.400446
4592,4459,279.304241
4634,4214,882.013393
4256,4375,-249.903795
4207,4193,29.400446
4256,4277,-44.100670
4459,4305,323.404911
4284,4284,0.000000
4438,4326,235.203572
4312,4354,-88.201339
4228,4312,-176.402679
4242,4263,-44.100670
4228,4298,-147.002232
4256,4284,-58.800893
4550,4319,485.107366
4284,4396,-235.203572
4291,4312,-44.100670
4424,4291,279.304241
4214,4291,-161.702455
4536,4361,367.505581
4263,4291,-58.800893
4263,4221,88.201339
4438,4305,279.304241
4256,4361,-220.503348
4235,4312,-161.702455
4249,4270,-44.100670
4200,4403,-426.306473
4361,4305,117.601786
4207,4291,-176.402679
4228,4396,-352.805357
4207,4319,-235.203572
4592,4270,676.210268
4557,4277,588.008929
4235,4270,-73.501116
4242,4270,-58.800893
4221,4284,-132.302009
4312,4774,-970.214733
4256,4375,-249.903795
4221,4333,-235.203572
4242,4291,-102.901563
4445,4326,249.903795
4284,4291,-14.700223
4221,4298,-161.702455
4487,4277,441.006697
4186,4291,-220.503348
4242,4263,-44.100670
4235,4298,-132.302009
4235,4326,-191.102902
4207,4403,-411.606250
4249,4298,-102.901563
4200,4340,-294.004464
4263,4263,0.000000
4228,4298,-147.002232
4242,4298,-117.601786
4200,4431,-485.107366
4263,4298,-73.501116
4207,4284,-161.702455
4494,4312,382.205804
4312,4249,132.302009
4382,4263,249.903795
4193,4284,-191.102902
4263,4319,-117.601786
4242,4305,-132.302009
4935,4277,1381.820983
4312,4207,220.503348
4291,4277,29.400446
4410,4298,235.203572
4277,4305,-58.800893
4333,4410,-161.702455
4284,4298,-29.400446
4970,4284,1440.621876
4284,4340,-117.601786
4249,5033,-1646.425001
4529,4263,558.608482
4445,4270,367.505581
4263,4291,-58.800893
4214,4823,-1278.919420
4256,4284,-58.800893
4221,4298,-161.702455
4410,4298,235.203572
4214,4291,-161.702455
4312,4270,88.201339
4235,4389,-323.404911
4249,4298,-102.901563
4235,4228,14.700223
4277,4256,44.100670
4214,4298,-176.402679
4277,4326,-102.901563
4214,4284,-147.002232
4298,4319,-44.100670
4193,4270,-161.702455
4459,4298,338.105134
4228,5131,-1896.328796
4235,4494,-543.908259
4333,4284,102.901563
4298,4312,-29.400446
4242,4704,-970.214733
4263,4270,-14.700223
4529,4284,514.507813
4228,4298,-147.002232
4228,4410,-382.205804
4256,4284,-58.800893
4214,4382,-352.805357
4298,4312,-29.400446
4193,4305,-235.203572
4256,4291,-73.501116
4228,4270,-88.201339
4249,4291,-88.201339
4249,4263,-29.400446
4438,4277,338.105134
4207,4284,-161.702455
4284,4312,-58.800893
4249,4305,-117.601786
4263,4284,-44.100670
4221,4312,-191.102902
4312,4473,-338.105134
4200,4284,-176.402679
4221,4284,-132.302009
4242,4319,-161.702455
4291,4760,-984.914956
4221,4305,-176.402679
4270,4319,-102.901563
4172,4277,-220.503348
4277,4291,-29.400446
4207,4298,-191.102902
4221,4263,-88.201339
4228,4305,-161.702455
4235,4277,-88.201339
4221,4256,-73.501116
4277,4284,-14.700223
4214,4620,-852.612947
4270,4270,0.000000
4256,4298,-88.201339
4949,4305,1352.420536
4242,4312,-147.002232
5698,4312,2910.644198
4249,4417,-352.805357
4249,4298,-102.901563
4543,4396,308.704688
4277,4277,0.000000
4270,4291,-44.100670
4249,4326,-161.702455
4340,4319,44.100670
4291,4312,-44.100670
4193,4333,-294.004464
4256,4284,-58.800893
5642,4256,2910.644198
4466,4256,441.006697
4214,4396,-382.205804
4277,4291,-29.400446
4522,4305,455.706920
4277,4263,29.400446
4214,4319,-220.503348
4256,4291,-73.501116
4417,4396,44.100670
4298,4319,-44.100670
4214,4284,-147.002232
4235,4389,-323.404911
4235,4291,-117.601786
4263,4270,-14.700223
4228,4312,-176.402679
4235,4256,-44.100670
4207,4242,-73.501116
4235,4284,-102.901563
4557,4235,676.210268
4270,4291,-44.100670
4235,4319,-176.402679
4242,4256,-29.400446
4319,4333,-29.400446
4263,4277,-29.400446
4207,4396,-396.906027
4739,4536,426.306473
4774,4445,690.910491
6895,4347,5350.881253
4347,4368,-44.100670
4284,4298,-29.400446
4536,5138,-1264.219197
4235,4249,-29.400446
4207,4907,-1470.022322
4235,4298,-132.302009
4263,4298,-73.501116
4361,4263,205.803125
4256,4270,-29.400446
4298,4284,29.400446
4207,4284,-161.702455
4277,4410,-279.304241
4256,4396,-294.004464
4249,4277,-58.800893
4172,4298,-264.604018
4270,4263,14.700223
4193,4312,-249.903795
4291,4256,73.501116
4340,4242,205.803125
4256,4319,-132.302009
4221,4305,-176.402679
4585,4270,661.510045
4200,4487,-602.709152
4270,4291,-44.100670
4333,4403,-147.002232
4270,4284,-29.400446
4214,4270,-117.601786
4270,4298,-58.800893
4214,4298,-176.402679
4242,4284,-88.201339
4354,4382,-58.800893
4242,4284,-88.201339
4214,4333,-249.903795
4291,4312,-44.100670
4305,4312,-14.700223
4270,5033,-1602.324331
4634,4655,-44.100670
4235,4284,-102.901563
4214,4298,-176.402679
4235,4256,-44.100670
4340,4361,-44.100670
4508,4242,558.608482
4249,5054,-1690.525670
4291,4263,58.800893
4172,4277,-220.503348
4361,4291,147.002232
4235,5166,-1955.129688
4263,4396,-279.304241
4340,4333,14.700223
4235,4312,-161.702455
4235,4298,-132.302009
4242,4403,-338.105134
4214,4305,-191.102902
4249,4298,-102.901563
4221,4298,-161.702455
4347,4389,-88.201339
4333,4340,-14.700223
4319,4319,0.000000
4186,4312,-264.604018
4228,4256,-58.800893
4592,4256,705.610715
4291,4305,-29.400446
4256,4270,-29.400446
4263,4326,-132.302009
4263,4424,-338.105134
4270,4305,-73.501116
4193,4291,-205.803125
4942,4298,1352.420536
4228,4396,-352.805357
4242,4620,-793.812054
